,week,team_abv,home,oppn,pass_td,pass_yrd_per_pass,pass_1st_dwn,pass_yrd,rush_td,rush_yrd_per_rush,rush_1st_down,rush_yrd,rec_td,rec_yrd_per_gm,rec_yrd_per_tar,rec_per_gm,rec_1st_down,def_st_td,def_sack,def_int,def_fbml,def_st_td_alw,def_st_yrd_alw,kck_pts,rz_diff,to_diff
0,11,ARI,False,SEA,4.666666666666667,65.69719282098481,251.25,95173.33333333334,2.6666666666666665,17.98002773925104,77.5,16204.5,4.666666666666667,103526.0,77.0856291883842,776.4166666666667,251.25,0.0,6.25,2.916666666666667,0.0,13.999999999999998,233765.99999999997,99.16666666666667,0.2833333333333333,-5
1,11,PHI,False,CLE,2.2222222222222223,37.12418300653595,147.77777777777777,45440.0,0.3333333333333333,21.36060606060606,71.55555555555556,15664.444444444445,2.2222222222222223,54056.0,48.69422480232209,489.11111111111114,147.77777777777777,0.0,1.1111111111111112,0.1111111111111111,0.4444444444444444,4.0,141053.3333333333,18.666666666666664,0.006993006993006978,3
2,11,GB,False,IND,4.333333333333333,54.19021739130434,163.33333333333331,58164.166666666664,0.5,13.198513680891791,31.666666666666668,9768.0,4.333333333333333,65517.666666666664,64.70880658436215,478.49999999999994,163.33333333333331,0.0,2.0,0.16666666666666666,0.16666666666666666,10.083333333333332,199421.41666666666,26.833333333333336,0.4461538461538461,2
3,11,ATL,False,NO,1.6666666666666665,49.552618102675716,188.0,64509.25000000001,0.4166666666666667,8.718640838361384,20.0,4575.833333333333,1.6666666666666665,73895.5,58.64722222222222,622.4166666666667,188.0,0.0,3.0,0.0,0.0,7.583333333333332,204126.6666666667,56.25000000000001,0.0,-3
4,11,CIN,False,WSH,2.6666666666666665,37.636853932584266,152.44444444444446,46523.333333333336,0.3333333333333333,19.71852340145023,48.55555555555556,13294.666666666668,2.6666666666666665,59129.77777777778,51.56666666666666,534.8888888888889,152.44444444444446,0.0,0.6666666666666666,0.6666666666666666,0.0,10.666666666666668,234901.00000000003,60.666666666666664,0.24285714285714288,-4
5,11,DET,False,CAR,5.0625,62.11054508405502,259.875,91442.25,0.3125,18.174508957478956,40.6875,10525.3125,5.0625,100638.5625,74.01254826254826,708.5,259.875,0.0,3.9375,0.0,0.0,13.5,195120.75,99.875,0.08391608391608385,0
6,11,PIT,False,JAX,6.416666666666667,53.291384778012684,178.83333333333334,84022.75,0.6666666666666666,11.124944154877142,20.583333333333332,6225.333333333333,6.416666666666667,87087.0,58.42151162790697,656.75,178.83333333333334,0.0,10.0,0.5,0.41666666666666663,6.666666666666666,194591.25,62.0,0.25,5
7,11,TEN,False,BAL,2.333333333333333,36.864142104235796,98.66666666666666,31475.833333333336,0.75,20.917276887871857,52.5,15234.75,2.333333333333333,34804.83333333333,43.857817914522734,305.0,98.66666666666666,0.3333333333333333,2.6666666666666665,0.75,0.5,8.999999999999998,187510.4166666667,20.583333333333332,0.4772727272727273,-1
8,11,NE,False,HOU,0.8333333333333334,52.66272688898269,112.75,41586.0,2.0,21.00526315789474,88.83333333333333,22615.666666666668,0.8333333333333334,45057.33333333333,61.891941391941394,360.91666666666663,112.75,0.0,2.916666666666667,0.0,0.0,6.0,151840.6666666667,40.0,0.29999999999999993,3
9,11,MIA,False,DEN,2.916666666666667,43.906976744186046,105.75,35400.0,1.75,14.2803961122318,46.75,12978.5,2.916666666666667,39482.5,53.49932249322493,340.75,105.75,2.0,3.3333333333333335,2.0,0.75,7.5,190457.3333333333,100.0,0.3263157894736842,-5
10,11,NYJ,False,LAC,2.25,38.19363395225464,70.83333333333334,28798.0,0.41666666666666663,20.396344249809598,35.41666666666667,11158.5,2.25,32402.083333333332,48.86577855975871,272.0,70.83333333333334,0.0,1.1666666666666665,0.0,0.08333333333333333,9.333333333333334,265006.00000000006,47.666666666666664,0.09230769230769231,-3
11,11,DAL,False,MIN,0.5555555555555556,24.273589743589746,135.0,31555.666666666668,0.0,16.054987212276213,38.333333333333336,11160.0,0.5555555555555556,42960.0,36.28378378378378,435.7777777777778,135.0,0.0,2.0,0.2222222222222222,0.2222222222222222,12.222222222222223,163895.44444444447,47.22222222222223,-0.4444444444444444,2
12,11,KC,False,LV,5.833333333333334,55.99096919851637,236.0,86800.0,0.5,13.822213577125073,24.916666666666664,5921.666666666667,5.833333333333334,92274.5,63.34633867276888,656.0,236.0,0.0,3.0,0.16666666666666666,0.25,5.5,144922.5,65.25,0.15476190476190477,3
13,11,LAR,False,TB,2.5,42.03638135455579,195.5,64704.5,1.25,16.23547137322428,63.00000000000001,12571.666666666668,2.5,72206.33333333333,50.27129264330471,701.25,195.5,0.0,5.5,1.0,0.5,9.75,165480.0,34.666666666666664,0.3999999999999999,2
